Date,Close,High,Low,Open,Volume
2007-10-05,52.25092315673828,56.87352079210541,43.1875167592935,46.64148069529059,855215656
2007-10-08,49.576053619384766,54.016862537626224,49.26441654631749,54.016862537626224,126671715
2007-10-09,52.95210266113281,53.419554713185995,46.92714553268396,49.60201670610783,116725709
2007-10-10,53.445526123046875,54.53625229612375,52.97807406164678,54.328493084779,67931378
2007-10-11,59.41854476928711,62.32714565110846,52.97807591685675,62.32714565110846,106320954
2007-10-12,59.02899932861328,61.23641853894796,57.65260993581821,58.172002691191075,99410791
2007-10-15,59.80808639526367,60.613149365105215,59.28869365783617,60.24957163102002,41814972
2007-10-16,65.91096496582031,66.94975770455291,59.47049507186285,59.88600653158281,138614496
2007-10-17,71.05294799804688,72.71500060587947,55.10758390026759,59.2107888242532,204876259
2007-10-18,68.55985260009766,77.62325831200747,65.62528516369755,72.19560161202705,146617799
2007-10-19,68.32613372802734,71.10488631487198,64.9241070310571,67.00167800518918,110266491
2007-10-22,67.41719818115234,69.52073602931264,65.18380509901479,66.94974610875174,72253405
2007-10-23,72.2215805053711,72.87082144558245,69.07925012791905,69.07925012791905,74594921
2007-10-24,71.1048812866211,74.53287456046813,70.29981836424676,73.75377845554819,63055170
2007-10-25,70.94906616210938,72.61112580374328,62.664748863355165,68.68970625838412,34522489
2007-10-26,73.07857513427734,74.2472087946232,70.24788189466473,72.19560466190785,62370025
2007-10-29,74.55885314941406,76.35076108868225,73.90961216340611,74.27318993345679,43657697
2007-10-30,76.22090148925781,78.27249847130612,73.33826771577914,75.57166060037268,79921711
2007-10-31,77.8050537109375,79.51905404459195,76.35075680182024,76.61045318164226,44655368
2007-11-01,76.0650863647461,80.32410980093823,75.44181928157917,79.72680953780174,50632492
2007-11-02,77.44147491455078,77.90893402768407,72.71499945673308,73.31230675802226,32001693
2007-11-05,79.025634765625,80.76560206602664,76.92208968494275,77.38954884379375,38833135
2007-11-06,80.06441497802734,85.1284944701781,78.97368875539027,80.402018868561,81880281
2007-11-07,78.89578247070312,82.68734692103388,77.12984843965475,81.54468703963336,33593141
2007-11-08,77.54536437988281,79.64890947447967,75.83137093514387,76.87015654885616,27990521
2007-11-12,79.41516876220703,80.81753196204139,73.1564820900157,75.20808620741879,35153735
2007-11-13,81.31095886230469,82.94704472720406,78.19460215022379,80.76559925557673,43830531
2007-11-14,80.2461929321289,83.88194181618005,79.83067454712304,82.73927506330682,36738579
2007-11-15,81.59663391113281,83.02496415468542,80.06442228652637,81.75244893799764,29242252
2007-11-16,81.0252914428711,82.86913291726692,80.09038025094132,81.23304713728376,18895294
2007-11-19,83.95984649658203,86.99829508531197,82.24585346945955,82.86912045899768,40716718
2007-11-20,82.661376953125,85.95952236707782,81.64855825968476,83.62225496195276,26342171
2007-11-21,76.22090148925781,83.6482144402179,74.37705313799535,83.15479559149391,26814499
2007-11-22,73.59796905517578,78.4802665059787,70.40370507449748,75.41584366715539,34096185
2007-11-23,78.48026275634766,78.94771479672264,74.06541757918617,78.4283220752583,27664090
2007-11-26,79.1035385131836,81.38886533054689,78.48027140556565,81.38886533054689,20159123
2007-11-27,77.15582275390625,80.45396861373497,76.35076669008048,80.45396861373497,20573198
2007-11-28,76.01314544677734,79.20741653647964,75.49375269004072,78.84383878887796,16435311
2007-11-29,73.9615478515625,78.32444557366883,73.00066984828123,77.90893418859778,25530967
2007-11-30,76.81819915771484,77.28565117331063,74.27317636639182,75.31196175425545,18437721
2007-12-03,77.908935546875,78.86981356690838,77.1558132229992,77.75311349122042,16851227
